City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Banda Aceh,ID,79.0,Clouds,5.5577,95.3222,Sulthan Hotel International
174,Vao,NC,70.54,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
175,Shache,CN,53.8,Clear,38.4167,77.2406,Delong Hotel
176,Estacion Coahuila,MX,68.97,Clear,32.1939,-115.0017,carroceria y pintura Kikones
179,Rokytne,UA,53.02,Clear,51.2796,27.214,Затишок
181,Noumea,NC,64.38,Clear,-22.2763,166.4572,Hôtel Le Lagon
182,Dondo,MZ,78.31,Clear,-19.6094,34.7431,Arco Iris
185,Kharan,PK,74.03,Clear,28.5833,65.4167,Dil Aram Bangla
186,Gorontalo,ID,75.87,Clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
187,La Union,PE,76.26,Clouds,-5.4,-80.75,Los Portales
189,Ocampo,MX,58.37,Clear,21.65,-101.5,Casa de ratas
190,Lompoc,US,55.31,Mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
191,Los Llanos De Aridane,ES,71.35,Ash,28.6585,-17.9182,Valle Aridane
193,Najran,SA,77.65,Clear,17.4924,44.1277,محمد هادي ال فطيح
196,Rocha,UY,72.93,Clouds,-34.4833,-54.3333,Beleza Pura B&B
197,Necochea,AR,61.03,Clouds,-38.5473,-58.7368,dyd -mar Hotel
198,Cervo,ES,66.2,Clouds,43.6702,-7.4101,Hotel Spa Galatea
199,Lagoa,PT,70.03,Clouds,39.05,-27.9833,Casa Das Faias
200,Tsogni,GA,79.05,Rain,-2.7942,10.0988,
205,Katobu,ID,74.97,Clouds,-4.9408,122.5276,La Ode Husein
208,Barcelos,PT,66.85,Clouds,41.5388,-8.6151,Hotel Do Terço
214,Kruisfontein,ZA,66.88,Clear,-34.0033,24.7314,Oyster Bay House Rental
215,Cidreira,BR,71.49,Clouds,-30.1811,-50.2056,Hotel Castelo
217,Margate,GB,58.03,Clouds,51.3813,1.3862,Premier Inn Margate hotel
218,Fomboni,KM,78.69,Clear,-12.28,43.7425,Auberge les abou
219,Hoi An,VN,76.96,Clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
221,Varhaug,NO,55.89,Rain,58.6147,5.6457,Jonas Bue
222,Vrnjacka Banja,RS,60.03,Clear,43.6167,20.9,Luxury Rooms Minjon
223,Grand Gaube,MU,75.6,Clear,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
226,Liku,ID,74.59,Rain,-0.7275,119.8922,Wahyu
227,Broome,US,53.71,Clouds,42.2506,-75.833,Chenango Valley State Park
228,Pyay,MM,75.88,Clouds,18.8167,95.2167,Shwe Pyi Thar
233,Rio Gallegos,AR,57.25,Clear,-51.6226,-69.2181,Hotel Santa Cruz
234,Camana,PE,68.58,Clouds,-16.6228,-72.7111,Hostal Morales
236,Castle Rock,US,59.25,Clear,39.3722,-104.8561,Best Western Plus Castle Rock
239,Kedainiai,LT,54.14,Clear,55.2883,23.9747,Gray's house
240,Ribeira Grande,PT,72.0,Clouds,38.5167,-28.7,Quinta da Meia Eira
241,Haapiti,PF,74.93,Clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
242,Lerwick,GB,51.8,Clouds,60.1545,-1.1494,The Lerwick Hotel
