City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Gurupa,BR,-1.405,-51.64,91.11,49,79,2.01,Clouds
252,Menongue,AO,-14.6585,17.691,70.36,72,90,4.45,Rain
253,Gafanha Da Encarnacao,PT,40.6181,-8.733,68.05,85,95,9.31,Rain
254,Sangar,RU,63.9242,127.4739,-14.66,100,99,2.77,Clouds
255,Fort Nelson,CA,58.8053,-122.7002,20.79,68,1,5.75,Clear
256,Saravan,AM,39.7196,45.6483,39.85,91,100,3.06,Clouds
257,Redmond,US,47.674,-122.1215,45.86,90,1,1.99,Clear
258,Ciudad Del Maiz,MX,22.4,-99.6,63.48,62,0,1.77,Clear
259,Jining,CN,35.405,116.5814,61.21,55,8,2.53,Rain
260,Yulara,AU,-25.2406,130.9889,58.84,88,75,8.05,Clouds
261,Vila Velha,BR,-20.3297,-40.2925,76.95,78,75,9.22,Clouds
262,Montmagny,FR,48.9734,2.3469,58.71,93,90,3.44,Clouds
263,Nidzica,PL,53.3605,20.4275,54.99,50,0,10.45,Clear
264,Adrar,MR,20.5022,-10.0711,89.42,12,100,9.8,Clouds
265,Nemuro,JP,43.3236,145.575,47.86,74,9,10.58,Clear
266,Damietta,EG,31.4165,31.8133,75.07,66,8,12.28,Clear
267,Sioux Lookout,CA,50.1001,-91.917,46.47,76,75,12.66,Clouds
268,Sorong,ID,-0.8833,131.25,79.83,82,89,4.29,Rain
269,Gushi,CN,34.6425,109.5843,61.36,56,98,0.29,Clouds
270,Cap-Aux-Meules,CA,47.3821,-61.8597,53.65,76,20,8.05,Clouds
271,Krasnoselkup,RU,65.7,82.4667,1.45,100,86,4.29,Clouds
272,Korla,CN,41.7597,86.1469,54.48,28,100,2.75,Clouds
273,Hun,LY,29.1268,15.9477,79.92,23,31,14.2,Clouds
274,Tripoli,LY,32.8752,13.1875,73.33,60,100,10.96,Clouds
275,Borovoy,RU,55.4333,86.0833,20.48,73,0,8.95,Clear
276,Ladwa,IN,29.9944,77.0444,69.76,34,0,8.34,Clear
277,Hibbing,US,47.4272,-92.9377,42.44,100,90,5.75,Fog
278,Nanortalik,GL,60.1432,-45.2371,35.11,72,60,4.68,Clouds
279,Hartselle,US,34.4434,-86.9353,55.65,100,99,10.2,Clouds
