City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Grindavik,IS,2021-10-28 22:08:26,63.8424,-22.4338,41.47,87,90,13.8
99,Tabuk,PH,2021-10-28 22:08:26,17.4189,121.4443,69.62,91,36,2.55
100,Jiwani,PK,2021-10-28 22:08:26,25.05,61.7417,78.46,65,0,7.34
101,Ixtapa,MX,2021-10-28 22:08:27,20.7,-105.2,85.23,74,40,11.5
102,Ancud,CL,2021-10-28 22:08:27,-41.8697,-73.8203,60.33,69,36,7.94
103,Coihaique,CL,2021-10-28 22:08:27,-45.5752,-72.0662,60.75,44,90,3.44
104,Husavik,IS,2021-10-28 22:08:28,66.0449,-17.3389,39.88,97,100,19.71
105,Ponta Do Sol,PT,2021-10-28 22:08:28,32.6667,-17.1,68.72,72,72,5.73
106,San Quintin,MX,2021-10-28 22:08:29,30.4833,-115.95,75.79,37,0,6.69
107,Petropavlovsk-Kamchatskiy,RU,2021-10-28 22:08:29,53.0452,158.6483,30.79,93,75,6.71
108,Hinton,CA,2021-10-28 22:08:29,53.4001,-117.5857,42.1,45,100,2.68
109,Gamba,GA,2021-10-28 22:08:30,-2.65,10.0,76.32,89,98,6.13
110,Carnarvon,AU,2021-10-28 22:08:30,-24.8667,113.6333,62.67,59,0,17.27
111,Calatayud,ES,2021-10-28 22:08:31,41.3535,-1.6432,61.38,56,100,5.35
112,Canita,PA,2021-10-28 22:08:31,9.2097,-78.8811,85.73,92,100,3.29
113,Saint-Georges,GD,2021-10-28 22:08:31,12.0564,-61.7485,80.33,78,90,10.76
